pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_date,dropoff_date,trip_duration
9.41783933,-0.85040217,9.40477967,-0.86025867,07-12-19,07-12-19,1140
9.41768667,-0.85026317,9.41772583,-0.850219,07-12-19,07-12-19,1200
9.4168955,-0.84982417,9.41783933,-0.85040217,08-12-19,08-12-19,0
9.46240167,-0.8654855,9.41768667,-0.85026317,08-12-19,08-12-19,0
9.41347633,-0.81490617,9.46240167,-0.8654855,08-12-19,08-12-19,1360
9.39495533,-0.82379217,9.41303883,-0.81450483,08-12-19,08-12-19,300
9.46240167,-0.8654855,9.46240167,-0.8654855,08-12-19,08-12-19,540
9.46240167,-0.8654855,9.46240167,-0.8654855,08-12-19,08-12-19,600
9.40458317,-0.86034667,9.46240167,-0.8654855,08-12-19,08-12-19,660
9.46240167,-0.8654855,9.404667,-0.86042483,08-12-19,08-12-19,1440
9.46240167,-0.8654855,9.46240167,-0.8654855,08-12-19,08-12-19,1500
9.42635667,-0.84751417,9.46240167,-0.8654855,08-12-19,08-12-19,1800
9.4181065,-0.850735,9.46240167,-0.8654855,08-12-19,08-12-19,240
9.40481467,-0.860373,9.41778567,0.85024833,08-12-19,08-12-19,2460
9.417641,-0.85039717,9.404611,-0.8604183,08-12-19,08-12-19,180
9.41772567,-0.85024333,9.41774133,-0.85024933,08-12-19,08-12-19,360
9.417712,-0.850288,9.46240167,-0.8654855,08-12-19,08-12-19,540
9.464543,-0.823684,9.41772567,-0.85024333,08-12-19,08-12-19,0
9.49165317,-0.84547133,9.46353317,0.82092483,08-12-19,08-12-19,1920
9.46240167,-0.8654855,9.48714833,-0.84593633,08-12-19,08-12-19,480
9.46240167,-0.8654855,9.46240167,-0.8654855,08-12-19,08-12-19,780
9.418096,-0.85071233,9.46240167,-0.8654855,08-12-19,08-12-19,720
9.41739017,-0.85079683,9.417739,-0.85021517,08-12-19,08-12-19,2580
9.46240167,-0.8654855,9.418096,-0.85071233,08-12-19,08-12-19,0
9.41766367,-0.8503485,9.41739017,-0.85079683,09-12-19,09-12-19,0
9.44878083,-0.84475283,9.41806583,-0.85031267,09-12-19,09-12-19,0
9.42832633,-0.87579483,9.4500209,-0.8587548,09-12-19,09-12-19,900
9.46240167,-0.8654855,9.42691683,-0.8790025,09-12-19,09-12-19,900
9.39072667,-0.87439517,9.46240167,-0.8654855,09-12-19,09-12-19,120
9.417654,-0.850309,9.3907555,-0.8743565,09-12-19,09-12-19,5340
9.40167317,-0.840859,9.46240167,-0.8654855,09-12-19,09-12-19,600
9.46240167,-0.8654855,9.40384317,-0.84114483,09-12-19,09-12-19,540
9.417666,-0.85028917,9.40408517,-0.84695133,09-12-19,09-12-19,300
9.42064617,-0.85469067,9.41771817,-0.85019967,09-12-19,09-12-19,1080
9.4045,-0.86035033,9.46240167,-0.8654855,09-12-19,09-12-19,660
9.37820767,-0.87200083,9.40464233,-0.86045167,09-12-19,09-12-19,240
9.3774395,-0.87666983,9.37797467,-0.87226983,09-12-19,09-12-19,1020
9.37921467,-0.88371433,9.3787675,-0.8725635,09-12-19,09-12-19,240
9.38132033,-0.88250117,9.38017133,-0.88455617,09-12-19,09-12-19,480
9.379317,-0.88167567,9.38180167,-0.88174233,09-12-19,09-12-19,540
9.46240167,-0.8654855,9.37935883,-0.88174,09-12-19,09-12-19,120
9.46240167,-0.8654855,9.46240167,-0.8654855,09-12-19,09-12-19,1680
9.41772383,-0.85035833,9.40421433,-0.853196,09-12-19,09-12-19,480
9.46240167,-0.8654855,9.40421433,-0.853196,09-12-19,09-12-19,1740
9.41629533,-0.84947417,9.41772383,-0.85035833,09-12-19,09-12-19,0
9.41662667,-0.84966217,9.41767767,-0.84984383,10-12-19,10-12-19,0
9.46240167,-0.8654855,9.41629533,-0.84947417,10-12-19,10-12-19,0
9.41770417,-0.85028867,9.46240167,-0.8654855,18-12-19,18-12-19,180
9.40662567,-0.86098333,9.41768867,-0.850246,18-12-19,18-12-19,120
9.4500209,-0.8587548,9.40460833,-0.86047083,18-12-19,18-12-19,360
9.46240167,-0.8654855,9.4500209,-0.8587548,18-12-19,18-12-19,720
9.46240167,-0.8654855,9.46240167,-0.8654855,18-12-19,18-12-19,360
9.40246667,-0.8397895,9.46240167,-0.8654855,18-12-19,18-12-19,720
9.41770083,-0.85036717,9.4027225,-0.83986033,18-12-19,18-12-19,600
9.40354133,-0.84134767,9.4177055,-0.850214,18-12-19,18-12-19,900
9.46240167,-0.8654855,9.403471,0.84180017,18-12-19,18-12-19,540
9.46240167,-0.8654855,9.46240167,-0.8654855,18-12-19,18-12-19,3660
9.46240167,-0.8654855,9.46240167,-0.8654855,18-12-19,18-12-19,240
9.40354133,-0.84134767,9.46240167,-0.8654855,18-12-19,18-12-19,900
9.46240167,-0.8654855,9.46240167,-0.8654855,18-12-19,18-12-19,720
9.39980217,-0.83372033,9.46240167,-0.8654855,18-12-19,18-12-19,480
9.36819683,-0.8810685,9.39962367,-0.83380117,18-12-19,18-12-19,600
9.4177105,-0.85024033,9.3687115,-0.88253383,18-12-19,18-12-19,1560
9.41886283,-0.851334,9.41771317,-0.85025983,18-12-19,18-12-19,900
9.406303,-0.86078133,9.4177445,-0.8502295,18-12-19,18-12-19,1200
9.46240167,-0.8654855,9.40456317,-0.86034867,18-12-19,18-12-19,360
9.41746633,-0.8503075,9.41770683,-0.850231,18-12-19,18-12-19,480
9.40235417,-0.83982133,9.41782267,-0.85021833,18-12-19,18-12-19,0
9.40466517,-0.860271,9.4034575,-0.84179283,18-12-19,18-12-19,660
9.46240167,-0.8654855,9.404681,-0.86032833,18-12-19,18-12-19,2280
9.44713683,-0.84549217,9.46240167,-0.8654855,18-12-19,18-12-19,360
9.4500209,-0.8587548,9.44713683,-0.84549217,18-12-19,18-12-19,1020
9.43150033,-0.8428405,9.45457883,-0.85054817,18-12-19,18-12-19,540
9.46240167,-0.8654855,9.43194283,-0.84291017,18-12-19,18-12-19,2760
9.417721,-0.8502,9.41770517,-0.850182,18-12-19,18-12-19,360
9.40229217,-0.8393865,9.41820467,-0.85023717,19-12-17,19-12-17,0
9.40136183,-0.84821183,9.40193733,-0.83950533,19-12-17,19-12-17,6420
9.46240167,-0.8654855,9.40140533,-0.84585883,19-12-17,19-12-17,240
9.40430617,-0.841339,9.46240167,-0.8654855,19-12-17,19-12-17,2040
9.407021,-0.84225667,9.40417783,-0.8412895,19-12-17,19-12-17,4080
9.4388025,-0.84366667,9.46240167,-0.8654855,19-12-17,19-12-17,2280
9.41546367,-0.84887467,9.46240167,-0.8654855,19-12-17,19-12-17,1140
